SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,M,24FTKJULHRA,2024-07-08,1,1,401,401,BANISHING,BANISHING,,,2020-03-05,2020,4,CH,G,,RA,,,KY,GHOSTZAPPER,GHOSTZAPPER,DOWAGER,DOWAGER,A.P. INDY,A.P. INDY,,,,0,,BROOKDALE SALES,1901-01-01,BROOKDALE AGENT FOR GODOLPHIN,,,,LARRY ROMAN,,,,80000,,,,,T,0.0,,DOWAGER,GHOSTZAPPER,A.P. INDY,
2024,M,24FTKJULHRA,2024-07-08,1,1,402,402,BEAUTY BOLT,BEAUTY BOLT,,,2021-03-11,2021,3,B,G,,RA,,,KY,BOLT D'ORO,BOLT D'ORO,BEAUTIFIED,BEAUTIFIED,CONGRATS,CONGRATS,,,,0,,TAYLOR MADE SALES AGENCY,1901-01-01,TAYLOR MADE SALES AGENCY AGENT V,,,,NOT SOLD,,,,10000,,,,,T,0.0,,BEAUTIFIED,BOLT D'ORO,CONGRATS,
2024,M,24FTKJULHRA,2024-07-08,1,1,403,403,BEWILDERED,BEWILDERED,,,2021-03-21,2021,3,B,F,,RA,,,KY,MITOLE,MITOLE,GOLDRUSH GIRL,GOLDRUSH GIRL,POLITICAL FORCE,POLITICAL FORCE,,,,0,,FOUR STAR SALES,1901-01-01,FOUR STAR SALES AGENT,,,,OUT,,,,0,,,,,T,0.0,,GOLDRUSH GIRL,MITOLE,POLITICAL FORCE,
2024,M,24FTKJULHRA,2024-07-08,1,1,404,404,BRIGHT SKITTLE,BRIGHT SKITTLE,,,2022-02-14,2022,2,B,C,,RA,,,KY,TWIRLING CANDY,TWIRLING CANDY,HARBOR LIGHTS,HARBOR LIGHTS,SHACKLEFORD,SHACKLEFORD,,,,0,,PARAMOUNT SALES LLC,1901-01-01,PARAMOUNT SALES AGENT IV,,,,BSW/CROW FOR WACHTEL STABLE,,,,195000,,,,,T,0.0,,HARBOR LIGHTS,TWIRLING CANDY,SHACKLEFORD,
2024,M,24FTKJULHRA,2024-07-08,1,1,405,405,BUNRATTY MANOR (IRE),BUNRATTY MANOR (IRE),,,2022-03-08,2022,2,DKB,F,,RA,,,IRE,NO NAY NEVER,NO NAY NEVER,SAPPHIRE RING (IRE),SAPPHIRE RING (IRE),GALILEO (IRE),GALILEO (IRE),,,,0,,PARAMOUNT SALES LLC,1901-01-01,PARAMOUNT SALES AGENT II,,,,THREE DIAMONDS FARM,,,,110000,,,,,T,0.0,,SAPPHIRE RING (IRE),NO NAY NEVER,GALILEO (IRE),
2024,M,24FTKJULHRA,2024-07-08,1,1,406,406,CANDYMAKER,CANDYMAKER,,,2021-01-27,2021,3,DKB,C,,RA,,,KY,TWIRLING CANDY,TWIRLING CANDY,CURUZU,CURUZU,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,,,,0,,PARAMOUNT SALES LLC,1901-01-01,PARAMOUNT SALES AGENT I,,,,OUT,,,,0,,,,,T,0.0,,CURUZU,TWIRLING CANDY,GIANT'S CAUSEWAY,
2024,M,24FTKJULHRA,2024-07-08,1,1,407,407,CHANTRY VIEW ROAD,CHANTRY VIEW ROAD,,,2021-02-10,2021,3,B,F,,RA,,,KY,QUALITY ROAD,QUALITY ROAD,MOLLY CORBIN,MOLLY CORBIN,WAR FRONT,WAR FRONT,,,,0,,FOUR STAR SALES,1901-01-01,FOUR STAR SALES AGENT,,,,BLUE DIAMOND STUD LLC,,,,45000,,,,,T,0.0,,MOLLY CORBIN,QUALITY ROAD,WAR FRONT,
2024,M,24FTKJULHRA,2024-07-08,1,1,408,408,CHIVALROUS,CHIVALROUS,,,2021-04-19,2021,3,DKB,G,,RA,,,KY,MEDAGLIA D'ORO,MEDAGLIA D'ORO,SUGARCRAFT,SUGARCRAFT,BERNARDINI,BERNARDINI,,,,0,,BROOKDALE SALES,1901-01-01,BROOKDALE AGENT FOR GODOLPHIN,,,,JUDGE LANIER RACING,,,,30000,,,,,T,0.0,,SUGARCRAFT,MEDAGLIA D'ORO,BERNARDINI,
2024,M,24FTKJULHRA,2024-07-08,1,1,409,409,CITIZEN JUDY,CITIZEN JUDY,,,2022-02-23,2022,2,B,F,,RA,,,KY,AMERICAN FREEDOM,AMERICAN FREEDOM,HONESTLY DEB,HONESTLY DEB,SUPER SAVER,SUPER SAVER,,,,0,,JOHN ENNIS,1901-01-01,JOHN ENNIS TRAINING AGENT,,,,NOT SOLD,,,,57000,,,,,T,0.0,,HONESTLY DEB,AMERICAN FREEDOM,SUPER SAVER,
2024,M,24FTKJULHRA,2024-07-08,1,1,410,410,CLASS PLAY,CLASS PLAY,,,2022-03-22,2022,2,B,F,,RA,,,KY,CLASSIC EMPIRE,CLASSIC EMPIRE,PLAY BALLADO,PLAY BALLADO,SAINT BALLADO,SAINT BALLADO,,,,0,,GROVENDALE SALES,1901-01-01,GROVENDALE SALES AGENT II,,,,OUT,,,,0,,,,,T,0.0,,PLAY BALLADO,CLASSIC EMPIRE,SAINT BALLADO,
