SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,Y,24FTSARNYB,2024-08-12,1,2,485,485,No Horse,No Horse,,,2023-01-13,2023,1,DKB,C,,Y,,,NY,YAUPON,YAUPON,FROSTIE ANNE,FROSTIE ANNE,FROST GIANT,FROST GIANT,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CXV,,,,MICHAEL J. MAKER,,,,275000,,https://youtu.be/xhi3HQTiuOg,,,T,0.0,,FROSTIE ANNE,YAUPON,FROST GIANT,
2024,Y,24FTSARNYB,2024-08-12,1,2,486,486,No Horse,No Horse,,,2023-04-14,2023,1,DKB,F,,Y,,,NY,CONNECT,CONNECT,GEORGIE'S ANGEL,GEORGIE'S ANGEL,BELLAMY ROAD,BELLAMY ROAD,,,,0,,,1901-01-01,EATON SALES AGENT FOR LONGFORD FARM,,,,WEST BLDSTK. AGT. FOR REPOLE STABLE,,,,300000,,https://vimeo.com/996442326,,,T,0.0,,GEORGIE'S ANGEL,CONNECT,BELLAMY ROAD,
2024,Y,24FTSARNYB,2024-08-12,1,2,487,487,No Horse,No Horse,,,2023-05-06,2023,1,B,F,,Y,,,NY,HARD SPUN,HARD SPUN,GIANT BLOSSOM,GIANT BLOSSOM,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CV,,,,ORDONEZ & RACHID BROS.,,,,25000,,https://vimeo.com/991239948,,,T,0.0,,GIANT BLOSSOM,HARD SPUN,GIANT'S CAUSEWAY,
2024,Y,24FTSARNYB,2024-08-12,1,2,488,488,No Horse,No Horse,,,2023-03-08,2023,1,DKB,C,,Y,,,NY,CLASSIC EMPIRE,CLASSIC EMPIRE,GIULIA AMMANNATI,GIULIA AMMANNATI,NOBLE MISSION (GB),NOBLE MISSION (GB),,,,0,,,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,FIVE C'S STABLE,,,,7500,,https://youtu.be/wnDyVSclOmg,,,T,0.0,,GIULIA AMMANNATI,CLASSIC EMPIRE,NOBLE MISSION (GB),
2024,Y,24FTSARNYB,2024-08-12,1,2,489,489,No Horse,No Horse,,,2023-05-07,2023,1,CH,F,,Y,,,NY,IMPROBABLE,IMPROBABLE,GOLDEN MYSTERY,GOLDEN MYSTERY,AWESOME AGAIN,AWESOME AGAIN,,,,0,,,1901-01-01,NARDELLI SALES AGENT V,,,,RT RACING,,,,55000,,https://vimeo.com/991288549,,,T,0.0,,GOLDEN MYSTERY,IMPROBABLE,AWESOME AGAIN,
2024,Y,24FTSARNYB,2024-08-12,1,2,490,490,No Horse,No Horse,,,2023-02-09,2023,1,B,F,,Y,,,NY,WAR FRONT,WAR FRONT,GOODYEARFORROSES (IRE),GOODYEARFORROSES (IRE),AZAMOUR (IRE),AZAMOUR (IRE),,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT LXXXVIII,,,,MONARCH FARMS,,,,10000,,https://vimeo.com/995453041,,,T,0.0,,GOODYEARFORROSES (IRE),WAR FRONT,AZAMOUR (IRE),
2024,Y,24FTSARNYB,2024-08-12,1,2,491,491,No Horse,No Horse,,,2023-04-03,2023,1,B,F,,Y,,,NY,MEDAGLIA D'ORO,MEDAGLIA D'ORO,GOTTA GO MO,GOTTA GO MO,UNCLE MO,UNCLE MO,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CX,,,,OUT,,,,0,,,,,T,0.0,,GOTTA GO MO,MEDAGLIA D'ORO,UNCLE MO,
2024,Y,24FTSARNYB,2024-08-12,1,2,492,492,No Horse,No Horse,,,2023-04-14,2023,1,B,F,,Y,,,NY,KNICKS GO,KNICKS GO,GRACEFUL RAGE,GRACEFUL RAGE,TIZNOW,TIZNOW,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CIII,,,,NOT SOLD,,,,47000,,https://youtu.be/z9luyTmrQZI,,,T,0.0,,GRACEFUL RAGE,KNICKS GO,TIZNOW,
2024,Y,24FTSARNYB,2024-08-12,1,2,493,493,No Horse,No Horse,,,2023-02-13,2023,1,B,C,,Y,,,NY,LEINSTER,LEINSTER,GREATEST REWARD,GREATEST REWARD,GRAND REWARD,GRAND REWARD,,,,0,,,1901-01-01,PARAMOUNT SALES AGENT X,,,,LEVCO THOROUGHBREDS LLC,,,,35000,,,,,T,0.0,,GREATEST REWARD,LEINSTER,GRAND REWARD,
2024,Y,24FTSARNYB,2024-08-12,1,2,494,494,No Horse,No Horse,,,2023-02-21,2023,1,CH,F,,Y,,,NY,KNOWN AGENDA,KNOWN AGENDA,GREELEY GREELEY,GREELEY GREELEY,MR. GREELEY,MR. GREELEY,,,,0,,,1901-01-01,ELITE AGENT,,,,SEQUEL NEW YORK,,,,20000,,https://vimeo.com/995059087,,,T,0.0,,GREELEY GREELEY,KNOWN AGENDA,MR. GREELEY,
